date,STATEFIP,COUNTYFIP,emp_incq1,Policy_DiD,covid_severity
2020-03-01,6,6055,-0.00560325,0,29.64516129032258
2020-03-01,6,6059,-0.16235,0,29.64516129032258
2020-03-01,6,6061,-0.13392500000000002,0,29.64516129032258
2020-03-01,6,6065,-0.12244999999999999,0,29.64516129032258
2020-03-01,6,6067,-0.0984,0,29.64516129032258
2020-03-01,6,6071,-0.11092500000000001,0,29.64516129032258
2020-03-01,6,6073,-0.132825,0,29.64516129032258
2020-03-01,6,6075,-0.059525,0,29.64516129032258
2020-03-01,6,6077,-0.181425,0,29.64516129032258
2020-03-01,6,6079,-0.11570000000000001,0,29.64516129032258
2020-03-01,6,6081,-0.10830000000000001,0,29.64516129032258
2020-03-01,6,6083,-0.10569999999999999,0,29.64516129032258
2020-03-01,6,6085,-0.0977,0,29.64516129032258
2020-03-01,6,6087,-0.08530750000000001,0,29.64516129032258
2020-03-01,6,6095,-0.16065,0,29.64516129032258
2020-03-01,6,6097,-0.09762499999999999,0,29.64516129032258
2020-03-01,6,6099,-0.044275,0,29.64516129032258
2020-03-01,6,6107,-0.29475,0,29.64516129032258
2020-03-01,6,6111,-0.1053,0,29.64516129032258
2020-03-01,6,6113,-0.3625,0,29.64516129032258
2020-03-01,8,8001,-0.08165,0,5.166666666666667
2020-03-01,8,8005,-0.005742500000000001,0,5.166666666666667
2020-03-01,8,8013,-0.10895,0,5.166666666666667
2020-03-01,8,8031,-0.072255,0,5.166666666666667
2020-03-01,8,8035,-0.07171999999999999,0,5.166666666666667
2020-03-01,8,8041,-0.07674475,0,5.166666666666667
2020-03-01,8,8059,-0.0556525,0,5.166666666666667
2020-03-01,8,8069,-0.1543,0,5.166666666666667
2020-03-01,8,8097,-0.34975,0,5.166666666666667
2020-03-01,8,8123,-0.140825,0,5.166666666666667
2020-03-01,9,9001,-0.1242,0,38.42857142857143
2020-03-01,9,9003,-0.0651075,0,38.42857142857143
2020-03-01,9,9005,-0.21810000000000002,0,38.42857142857143
2020-03-01,9,9007,-0.079775,0,38.42857142857143
2020-03-01,9,9009,-0.1056125,0,38.42857142857143
2020-03-01,9,9011,0.00485,0,38.42857142857143
2020-03-01,9,9013,-0.199675,0,38.42857142857143
2020-03-01,9,9015,-0.151625,0,38.42857142857143
2020-03-01,10,10001,-0.26875,0,5.0
2020-03-01,10,10003,-0.078765,0,5.0
2020-03-01,10,10005,-0.0878075,0,5.0
2020-03-01,11,11001,-0.08418,0,93.5
2020-03-01,12,12001,-0.0756375,0,77.7
2020-03-01,12,12005,-0.082375,0,77.7
2020-03-01,12,12009,-0.0275375,0,77.7
2020-03-01,12,12011,-0.116475,0,77.7
2020-03-01,12,12015,-0.012334999999999999,0,77.7
2020-03-01,12,12017,-0.049800000000000004,0,77.7
2020-03-01,12,12019,-0.022475000000000002,0,77.7
2020-03-01,12,12021,-0.069425,0,77.7
2020-03-01,12,12031,-0.0874,0,77.7
2020-03-01,12,12033,-0.09395,0,77.7
2020-03-01,12,12035,-0.051775,0,77.7
2020-03-01,12,12051,0.060495,0,77.7
2020-03-01,12,12053,-0.053625,0,77.7
2020-03-01,12,12055,-0.09962499999999999,0,77.7
2020-03-01,12,12057,-0.06909499999999999,0,77.7
2020-03-01,12,12061,-0.122675,0,77.7
2020-03-01,12,12069,-0.07875625,0,77.7
2020-03-01,12,12071,0.006450000000000004,0,77.7
2020-03-01,12,12073,-0.080975,0,77.7
2020-03-01,12,12081,-0.004137499999999999,0,77.7
2020-03-01,12,12083,-0.0078075,0,77.7
2020-03-01,12,12085,-0.04468,0,77.7
2020-03-01,12,12086,-0.069325,0,77.7
2020-03-01,12,12087,-0.100425,0,77.7
2020-03-01,12,12089,-0.017105,0,77.7
2020-03-01,12,12091,-0.061617500000000006,0,77.7
2020-03-01,12,12093,-0.155825,0,77.7
2020-03-01,12,12095,-0.097925,0,77.7
2020-03-01,12,12097,-0.05081,0,77.7
2020-03-01,12,12099,-0.0535575,0,77.7
2020-03-01,12,12101,-0.07789499999999999,0,77.7
2020-03-01,12,12103,-0.08085,0,77.7
2020-03-01,12,12105,-0.0367125,0,77.7
2020-03-01,12,12107,-0.1595,0,77.7
2020-03-01,12,12109,-0.0421225,0,77.7
2020-03-01,12,12111,-0.10025,0,77.7
2020-03-01,12,12113,-0.021075,0,77.7
2020-03-01,12,12115,-0.09115,0,77.7
2020-03-01,12,12117,-0.0804,0,77.7
2020-03-01,12,12127,-0.025400000000000002,0,77.7
2020-03-01,12,12131,0.12075,0,77.7
2020-03-01,13,13015,-0.02798,0,25.258064516129032
2020-03-01,13,13021,-0.012675,0,25.258064516129032
2020-03-01,13,13045,-0.108525,0,25.258064516129032
2020-03-01,13,13051,-0.0403875,0,25.258064516129032
2020-03-01,13,13057,0.0103575,0,25.258064516129032
2020-03-01,13,13059,-0.15935,0,25.258064516129032
2020-03-01,13,13063,-0.039125,0,25.258064516129032
2020-03-01,13,13067,-0.119575,0,25.258064516129032
2020-03-01,13,13073,-0.06733675,0,25.258064516129032
2020-03-01,13,13077,-0.135825,0,25.258064516129032
